country,region,un_sub_region,life_expectancy_2026,population_2026,income_group,notes
Angola,Central Africa,Middle Africa,64.8,38000000,Lower middle,"Oil exporter, recovering from civil war"
Burundi,East Africa,Eastern Africa,63.5,14000000,Low,"High population density, agriculture-based"
Benin,West Africa,Western Africa,61.5,14000000,Lower middle,"Cotton producer, stable democracy"
Burkina Faso,West Africa,Western Africa,61.1,24000000,Low,"Sahel country, gold mining, security challenges"
Botswana,Southern Africa,Southern Africa,69.3,2700000,Upper middle,"Diamond mining, stable governance"
Central African Republic,Central Africa,Middle Africa,55.0,6000000,Low,"Ongoing conflict, rich in minerals"
Cote d'Ivoire,West Africa,Western Africa,61.5,32000000,Lower middle,"World's top cocoa producer"
Cameroon,Central Africa,Middle Africa,63.5,30000000,Lower middle,"Oil, cocoa, bilingual nation"
Democratic Republic of the Congo,Central Africa,Middle Africa,61.5,110000000,Low,"Vast mineral resources, conflict-affected"
Congo,Central Africa,Middle Africa,65.8,6000000,Lower middle,"Oil-dependent economy"
Comoros,East Africa,Eastern Africa,66.8,900000,Lower middle,"Island nation, vanilla & cloves"
Cabo Verde,West Africa,Western Africa,76.2,600000,Lower middle,"Island nation, tourism and remittances"
Djibouti,East Africa,Eastern Africa,66.0,1200000,Lower middle,"Strategic Red Sea port"
Algeria,North Africa,Northern Africa,76.5,47000000,Upper middle,"Oil and natural gas exporter"
Egypt,North Africa,Northern Africa,71.8,115000000,Lower middle,"Suez Canal, tourism, large population"
Eritrea,East Africa,Eastern Africa,68.9,4000000,Low,"Mining, agriculture, long-term isolation"
Ethiopia,East Africa,Eastern Africa,67.6,130000000,Low,"Fast-growing economy, coffee exporter"
Gabon,Central Africa,Middle Africa,68.5,2500000,Upper middle,"Oil wealth, high forest cover"
Ghana,West Africa,Western Africa,65.5,35000000,Lower middle,"Gold, cocoa, stable democracy"
Guinea,West Africa,Western Africa,60.7,15000000,Low,"Bauxite and iron ore rich"
Gambia,West Africa,Western Africa,65.9,3000000,Low,"Smallest mainland country, tourism & peanuts"
Guinea-Bissau,West Africa,Western Africa,62.0,2200000,Low,"Cashew exporter, political instability"
Equatorial Guinea,Central Africa,Middle Africa,63.0,1800000,Upper middle,"Oil-rich, high inequality"
Kenya,East Africa,Eastern Africa,67.0,58000000,Lower middle,"East Africa economic hub, tea & tourism"
Liberia,West Africa,Western Africa,62.0,6000000,Low,"Post-civil war recovery, rubber & iron ore"
Libya,North Africa,Northern Africa,71.1,7000000,Upper middle,"Oil exporter, political instability"
Lesotho,Southern Africa,Southern Africa,57.0,2300000,Lower middle,"Enclave in South Africa, water & textiles"
Morocco,North Africa,Northern Africa,75.5,38000000,Lower middle,"Phosphates, tourism, automotive"
Madagascar,East Africa,Eastern Africa,66.0,32000000,Low,"Unique biodiversity, vanilla producer"
Mali,West Africa,Western Africa,60.0,24000000,Low,"Gold mining, Sahel security issues"
Mozambique,East Africa,Eastern Africa,63.3,35000000,Low,"Natural gas discoveries, post-conflict"
Mauritania,West Africa,Western Africa,68.7,5000000,Lower middle,"Iron ore & fishing, Sahel country"
Mauritius,East Africa,Eastern Africa,75.1,1300000,Upper middle,"Tourism, finance, high development"
Malawi,East Africa,Eastern Africa,67.6,22000000,Low,"Tobacco & agriculture, high population growth"
Namibia,Southern Africa,Southern Africa,67.5,2700000,Upper middle,"Mining (uranium, diamonds), tourism"
Niger,West Africa,Western Africa,61.2,28000000,Low,"Uranium exporter, very high fertility rate"
Nigeria,West Africa,Western Africa,54.6,230000000,Lower middle,"Oil giant, most populous in Africa"
Rwanda,East Africa,Eastern Africa,68.0,15000000,Lower middle,"Tech & services growth, post-genocide recovery"
Sudan,North Africa,Northern Africa,66.3,51000000,Low,"Agriculture, gold, ongoing conflicts"
Senegal,West Africa,Western Africa,68.9,19000000,Lower middle,"Stable democracy, peanuts & fishing"
Sierra Leone,West Africa,Western Africa,61.8,9000000,Low,"Diamonds, post-civil war recovery"
Somalia,East Africa,Eastern Africa,58.0,20000000,Low,"Livestock & remittances, instability"
South Sudan,East Africa,Eastern Africa,57.6,12000000,Low,"Youngest nation, oil & conflict"
Sao Tome and Principe,Central Africa,Middle Africa,69.9,230000,Lower middle,"Island nation, cocoa & tourism"
Eswatini,Southern Africa,Southern Africa,64.1,1200000,Lower middle,"Sugar & mining, monarchy"
Seychelles,East Africa,Eastern Africa,73.0,100000,High,"Tourism-driven island economy"
Chad,Central Africa,Middle Africa,55.2,20000000,Low,"Oil & agriculture, Sahel challenges"
Togo,West Africa,Western Africa,62.7,10000000,Low,"Phosphate mining, agriculture"
Tunisia,North Africa,Northern Africa,76.7,13000000,Upper middle,"Tourism, manufacturing, educated workforce"
Tanzania,East Africa,Eastern Africa,67.2,70000000,Lower middle,"Mining, agriculture, tourism (Serengeti)"
Uganda,East Africa,Eastern Africa,68.5,53000000,Low,"Agriculture, oil potential, young population"
South Africa,Southern Africa,Southern Africa,66.1,65000000,Upper middle,"Most industrialized, mining & finance"
Zambia,East Africa,Eastern Africa,66.4,22000000,Lower middle,"Copper mining"
Zimbabwe,East Africa,Eastern Africa,62.8,17000000,Lower middle,"Mining, agriculture, economic challenges"
